trip_id,start_time,end_time,headway_secs
818D1I,8:36:00,22:00:00,771
818D1V,6:05:00,6:35:00,1800
818D1V,6:35:00,7:00:00,1500
818D1V,7:00:00,7:26:00,1560
818D1V,7:26:00,7:52:00,1560
818D1V,7:52:00,8:07:00,900
818D1V,8:07:00,22:15:00,793
847D2I,6:35:00,7:15:00,2400
847D2I,7:15:00,7:42:00,1620
847D2I,7:42:00,8:04:00,1320
847D2I,8:04:00,8:23:00,1140
847D2I,8:23:00,21:55:00,1011
847D2I,21:55:00,22:20:00,1500
847D2V,7:10:00,7:48:00,2280
847D2V,7:48:00,8:16:00,1680
847D2V,8:16:00,8:38:00,1320
847D2V,8:38:00,8:57:00,1140
847D2V,8:57:00,20:48:00,987
847D2V,20:48:00,21:09:00,1260
847D2V,21:09:00,21:30:00,1260
847D2V,21:30:00,21:55:00,1500
847D2V,21:55:00,22:20:00,1500
847D0I,5:30:00,6:00:00,1800
847D0I,6:00:00,6:20:00,1200
847D0I,6:20:00,7:07:00,940
847D0I,7:07:00,22:00:00,589
847D0I,22:00:00,22:20:00,1200
847D0V,5:45:00,6:03:00,1080
847D0V,6:03:00,7:05:00,930
847D0V,7:05:00,21:14:00,579
847D0V,21:14:00,22:20:00,920
847D1I,5:40:00,6:15:00,2100
847D1I,6:15:00,6:50:00,2100
847D1I,6:50:00,7:20:00,1800
847D1I,7:20:00,7:40:00,1200
847D1I,7:40:00,22:20:00,846
847D1V,5:45:00,6:18:00,1980
847D1V,6:18:00,6:48:00,1800
847D1V,6:48:00,7:06:00,1080
847D1V,7:06:00,21:55:00,871
847D1V,21:55:00,22:20:00,1500
850D2I,7:00:00,7:22:00,1320
850D2I,7:22:00,7:42:00,1200
850D2I,7:42:00,22:05:00,1012
850D2V,7:00:00,7:19:00,1140
850D2V,7:19:00,22:25:00,1023
850D0I,6:00:00,6:23:00,1380
850D0I,6:23:00,6:45:00,1320
850D0I,6:45:00,7:07:00,1320
850D0I,7:07:00,7:21:00,840
850D0I,7:21:00,22:05:00,661
850D0V,5:40:00,6:00:00,1200
850D0V,6:00:00,7:19:00,948
850D0V,7:19:00,20:13:00,636
850D0V,20:13:00,22:15:00,803
850D1I,6:20:00,6:43:00,1380
850D1I,6:43:00,7:03:00,1200
850D1I,7:03:00,22:05:00,771
850D1V,6:00:00,6:20:00,1200
850D1V,6:20:00,22:15:00,783
736D2I,7:15:00,7:40:00,1500
736D2I,7:40:00,8:00:00,1200
736D2I,8:00:00,22:15:00,928
736D2V,7:15:00,7:35:00,1200
736D2V,7:35:00,22:20:00,927
736D0I,6:00:00,6:18:00,1080
736D0I,6:18:00,8:31:00,570
736D0I,8:31:00,13:37:00,525
736D0I,13:37:00,22:15:00,736
736D0V,5:55:00,6:20:00,1500
736D0V,6:20:00,6:39:00,1140
736D0V,6:39:00,22:00:00,628
736D0V,22:00:00,22:20:00,1200
736D1I,6:45:00,7:05:00,1200
736D1I,7:05:00,21:08:00,777
736D1I,21:08:00,21:29:00,1260
736D1I,21:29:00,21:52:00,1380
736D1I,21:52:00,22:15:00,1380
736D1V,6:35:00,6:55:00,1200
736D1V,6:55:00,22:20:00,799
853D2I,6:15:00,6:45:00,1800
853D2I,6:45:00,7:15:00,1800
853D2I,7:15:00,7:46:00,1860
853D2I,7:46:00,8:04:00,1080
853D2I,8:04:00,22:20:00,880
853D2V,6:45:00,7:16:00,1860
853D2V,7:16:00,7:47:00,1860
853D2V,7:47:00,8:03:00,960
853D2V,8:03:00,22:20:00,870
853D0I,5:50:00,6:15:00,1500
853D0I,6:15:00,6:30:00,900
853D0I,6:30:00,20:05:00,515
853D0I,20:05:00,22:20:00,655
853D0V,6:25:00,6:50:00,1500
853D0V,6:50:00,7:06:00,960
853D0V,7:06:00,21:51:00,536
853D0V,21:51:00,22:20:00,840
853D1I,5:50:00,6:20:00,1800
853D1I,6:20:00,6:50:00,1800
853D1I,6:50:00,7:08:00,1080
853D1I,7:08:00,7:36:00,840
853D1I,7:36:00,22:20:00,682
853D1V,6:20:00,6:55:00,2100
853D1V,6:55:00,7:25:00,1800
853D1V,7:25:00,7:44:00,1140
853D1V,7:44:00,22:20:00,685
854D2I,7:17:00,7:55:00,2280
854D2I,7:55:00,8:30:00,2100
854D2I,8:30:00,8:54:00,1440
854D2I,8:54:00,9:14:00,1200
854D2I,9:14:00,21:36:00,1057
854D2I,21:36:00,21:58:00,1320
854D2I,21:58:00,22:20:00,1320
854D2V,6:45:00,7:20:00,2100
854D2V,7:20:00,7:55:00,2100
854D2V,7:55:00,8:17:00,1320
854D2V,8:17:00,8:35:00,1080
854D2V,8:35:00,20:32:00,1047
854D2V,20:32:00,20:53:00,1260
